City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,buala,-8.145,159.5921,26.31,87,100,5.25,SB,2024-2-10
306,corner brook,48.9667,-57.9484,-14.08,99,83,1.65,CA,2024-2-10
307,tabou,4.423,-7.3528,27.38,82,8,1.76,CI,2024-2-10
308,labytnangi,66.6572,66.4183,-25.06,90,87,1.21,RU,2024-2-10
309,saudarkrokur,65.7461,-19.6394,-9.48,83,100,2.84,IS,2024-2-10
310,nzerekore,7.7562,-8.8179,20.41,64,88,0.5,GN,2024-2-10
311,gisborne,-38.6533,178.0042,20.9,76,90,3.67,NZ,2024-2-10
312,nar'yan-mar,67.6713,53.087,-22.72,99,73,3.58,RU,2024-2-10
313,ebon,4.582,168.6964,24.59,92,100,1.62,MH,2024-2-10
314,turbat,26.0023,63.044,24.1,34,0,1.74,PK,2024-2-10
315,katsuren-haebaru,26.3369,127.8719,17.21,51,20,7.2,JP,2024-2-10
316,gembu,6.7,11.2667,25.06,21,27,1.18,NG,2024-2-10
317,mahina,-17.5065,-149.489,24.87,94,75,4.63,PF,2024-2-10
318,vila do maio,15.1333,-23.2167,24.27,63,0,6.33,CV,2024-2-10
319,bardai,11.65,7.2333,22.55,14,8,5.2,NG,2024-2-10
320,mayna,54.1135,47.6231,-19.34,91,73,2.8,RU,2024-2-10
321,antalaha,-14.9003,50.2788,29.07,72,100,4.58,MG,2024-2-10
322,chitipa,-9.7024,33.2697,24.48,69,96,1.59,MW,2024-2-10
323,st. john's,47.5649,-52.7093,-3.45,94,98,3.13,CA,2024-2-10
324,vernon,50.2581,-119.2691,-2.99,76,71,3.09,CA,2024-2-10
325,carletonville,-26.3609,27.3977,26.86,43,0,4.5,ZA,2024-2-10
326,cole harbour,44.6724,-63.4751,-0.29,92,33,1.34,CA,2024-2-10
327,magdagachi,53.45,125.8,-15.62,96,100,1.01,RU,2024-2-10
328,nadym,65.5333,72.5167,-17.43,95,100,7.67,RU,2024-2-10
329,flying fish cove,-10.4217,105.6791,29.82,74,75,3.6,CX,2024-2-10
330,thunder bay,48.4001,-89.3168,-5.72,81,100,5.38,CA,2024-2-10
331,pieksamaki,62.3,27.1333,-11.0,94,100,2.02,FI,2024-2-10
332,bridgetown,13.1,-59.6167,26.27,83,40,7.2,BB,2024-2-10
333,petrovsk-zabaykal'skiy,51.273,108.843,-6.8,72,19,2.49,RU,2024-2-10
334,puerto yuca,2.9383,-73.2083,22.73,97,83,1.25,CO,2024-2-10
335,carutapera,-1.195,-46.02,25.05,94,90,3.17,BR,2024-2-10
336,san antonio de pale,-1.4014,5.6325,28.62,70,27,2.18,GQ,2024-2-10
337,ghanzi,-21.5667,21.7833,30.87,32,95,1.86,BW,2024-2-10
338,glace bay,46.1969,-59.957,-5.58,94,20,2.57,CA,2024-2-10
339,crane,31.3974,-102.3501,12.92,25,100,4.01,US,2024-2-10
340,ust'-ilimsk,58.0006,102.6619,-0.87,90,100,3.58,RU,2024-2-10
341,anadyr,64.75,177.4833,-18.72,84,0,7.0,RU,2024-2-10
342,lebu,-37.6167,-73.65,14.23,93,3,3.8,CL,2024-2-10
343,magadan,59.5667,150.8,-26.71,86,44,2.87,RU,2024-2-10
